"Key","Issue Type","Parent","Summary","Status","Assignee","Sprint","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"SCRUM1-9","Epic","","Players can team up","To Do","","","2023/11/06","2023/11/06","2023/11/13","2023/11/13","purple"
"SCRUM1-14","Story","SCRUM1-9","Players use same Access Code and are added to hunt as a team","Done","","","","","","","purple"
"SCRUM1-68","Task","SCRUM1-9","Generate new team code","Done","Jean Bilong","SCRUM1 Sprint 1","","2023/11/06","","2023/11/13","purple"
"SCRUM1-67","Task","SCRUM1-9","Create middleman page with create team and join team button","Done","Tessa Williams","SCRUM1 Sprint 1","","2023/11/06","","2023/11/13","purple"
"SCRUM1-69","Task","SCRUM1-9","Create team page","Done","Tyson Bailey","SCRUM1 Sprint 1","","2023/11/06","","2023/11/13","purple"
"SCRUM1-70","Task","SCRUM1-9","display prompt for team code- join team","Done","Bryson Brandon","SCRUM1 Sprint 1","","2023/11/06","","2023/11/13","purple"
"SCRUM1-81","Story","SCRUM1-9","ACCEPTANCE CRITERIA","Done","","","","","","","purple"
"SCRUM1-5","Epic","","Admin Creates Hunts","To Do","","","2023/11/15","2023/11/15","2023/11/21","2023/11/21","purple"
"SCRUM1-19","Story","SCRUM1-5","Admin Creates Hunts","To Do","","SCRUM1 Sprint 2","","2023/11/15","","2023/11/20","purple"
"SCRUM1-33","Task","SCRUM1-5","Establish a way to locate if the player is less than 50ft from the task(s)","Done","Bryson Brandon","SCRUM1 Sprint 2","","2023/11/15","","2023/11/20","purple"
"SCRUM1-82","Story","SCRUM1-5","ACCEPTANCE CRITERIA","Done","","","","","","","purple"
"SCRUM1-97","Acceptance Criteria","SCRUM1-5","Acceptance Criteria","To Do","","SCRUM1 Sprint 2","","2023/11/15","","2023/11/20","purple"
"SCRUM1-49","Epic","","Admin Creates Users","To Do","","","2023/11/15","2023/11/15","2023/11/21","2023/11/21","purple"
"SCRUM1-83","Story","SCRUM1-49","ACCEPTANCE CRITERIA","To Do","","","","","","","purple"
"SCRUM1-74","Story","SCRUM1-49","Admin Can Create Multiple Users","To Do","","SCRUM1 Sprint 2","","2023/11/15","","2023/11/20","purple"
"SCRUM1-98","Acceptance Criteria","SCRUM1-49","Acceptance Criteria","To Do","","SCRUM1 Sprint 2","","2023/11/15","","2023/11/20","purple"
"SCRUM1-12","Epic","","Player Records Task Completed","To Do","","","2023/11/21","2023/11/21","2023/11/27","2023/11/27","purple"
"SCRUM1-85","Story","SCRUM1-12","USER STORY","To Do","","SCRUM1 Sprint 3","","2023/11/20","","2023/11/27","purple"
"SCRUM1-101","Acceptance Criteria","SCRUM1-12","ACCEPTANCE CRITERIA","To Do","","SCRUM1 Sprint 3","","2023/11/20","","2023/11/27","purple"
"SCRUM1-89","Task","SCRUM1-12","Design a points system per task:","To Do","","SCRUM1 Sprint 3","","2023/11/20","","2023/11/27","purple"
"SCRUM1-87","Task","SCRUM1-12","Create display hunt points that show total points in sidebar","Done","Tessa Williams","SCRUM1 Sprint 3","","2023/11/20","","2023/11/27","purple"
